Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-01-03,323.8984069824219,327.04305171040653,319.0895183249568,324.4789626840154,28865100
2022-01-04,318.3444519042969,324.33379227694843,315.5481232153685,323.975761808593,32674300
2022-01-05,306.12384033203125,315.4997196999097,305.73681313116083,315.2965060586195,40054300
2022-01-06,303.7049255371094,308.3686822043641,301.392388231309,302.9985793895527,39646100
2022-01-07,303.8597717285156,306.24001762602904,300.0378070905874,303.9661916842853,32720000
2022-01-10,304.08233642578125,304.5177606410035,294.81290313065546,299.4572902943234,44289500
2022-01-11,304.769287109375,306.3464225083594,299.84429345523614,303.221148489365,29386800
2022-01-12,307.95263671875,312.92602760824207,306.80121056428135,309.3072765675064,34372200
2022-01-13,294.91925048828125,310.477999759612,294.14519599434743,310.0812872347779,45366000
2022-01-14,300.14422607421875,300.7441227450604,293.9033045852905,294.38709603316755,39846400
2022-01-18,292.8389587402344,299.7571705686531,291.95845475795755,294.21293945049706,42333200
2022-01-19,293.4969177246094,303.73396167938847,292.8873652813076,296.36098446324274,45933900
2022-01-20,291.8230285644531,301.54722556520954,291.37794866784134,299.0508745044083,35380700
2022-01-21,286.43359375,294.25165138229846,286.0271958983454,292.8777000608215,57984400
2022-01-24,286.7625732421875,287.47857522376313,267.101279303545,282.727768608137,85731500
2022-01-25,279.13800048828125,285.4272897689935,275.92564748178614,282.06977569492784,72848600
2022-01-26,287.0915222167969,298.4993332025726,283.5308241295649,298.0058564603818,90428900
2022-01-27,290.1200866699219,297.33824766891416,288.27199957427445,292.84867784956623,53481300
2022-01-28,298.26715087890625,298.4800203242128,284.90483174909696,290.49746041765246,49743700
2022-01-31,300.8989562988281,302.2535665226197,296.4383835464321,298.9347640922584,46444500
2022-02-01,298.7509460449219,300.56032158802805,295.2386149185201,300.3474521401161,40950400
2022-02-02,303.2984924316406,304.90468340297207,298.8669762554386,299.5926633463742,36636000
2022-02-03,291.4844055175781,301.1408953745366,290.2362150650332,299.45728072069,43730000
2022-02-04,296.0223083496094,298.78958120984197,290.24583738111943,290.478047823017,35096500
2022-02-07,291.194091796875,297.8607227658091,290.1781120131645,296.244875824076,28533300
2022-02-08,294.68707275390625,295.65465574286134,290.2265293484021,291.48437542272796,32421200
2022-02-09,301.1214904785156,301.81815140418445,297.4253459420539,299.8249328306882,31284700
2022-02-10,292.5777587890625,299.09925890544037,290.9522263996024,294.18395014827564,45386200
2022-02-11,285.4757080078125,294.4258511158453,284.68228282928357,293.3615038676102,39175600
2022-02-14,285.43695068359375,287.13990600791016,281.9052790638438,284.24681310649265,36359500
2022-02-15,290.7296142578125,291.04890359942823,287.3914416813156,290.2845344237078,27058300
2022-02-16,290.3902893066406,291.7186141094078,284.74730563169356,289.29465510017036,29982100
2022-02-17,281.88702392578125,287.77237333129176,281.1792173127968,287.34575422063546,32461600
2022-02-18,279.1722412109375,284.9218657300005,277.60152027487555,284.13650526196955,34264000
2022-02-22,278.9685974121094,282.6724139032119,275.8465370047907,276.33132880972005,41736100
2022-02-23,271.7452087402344,282.8275727475832,271.5803960838196,281.35378660921566,37811200
2022-02-24,285.629638671875,286.1823084436964,263.2613371745761,264.2212450912512,56989700
2022-02-25,288.2668762207031,288.57715005097384,282.7790299038215,286.1628965358633,32546700
2022-02-28,289.7018737792969,290.04123393567045,284.087976805865,285.35812887426613,34627500
2022-03-01,285.9787292480469,290.84602885663736,283.2638770860494,287.3846078844976,31217800
2022-03-02,291.05926513671875,292.30033079862653,284.7666778653276,286.3761603919426,31873000
2022-03-03,286.919189453125,293.90987886372875,285.10604328173724,293.6771882703284,27314500
2022-03-04,281.04345703125,286.6670590433166,278.43530465770755,285.33873439242245,32356500
2022-03-07,270.4266052246094,280.8787167872422,270.05815866809127,279.75399609499914,43157200
2022-03-08,267.45965576171875,275.32296496007893,261.78758549153326,269.35032612555074,48159500
2022-03-09,279.7248840332031,280.79143196991623,272.2396970446507,274.8187931136679,35204500
2022-03-10,276.90338134765625,277.88267026842374,272.04575796281966,274.41154435304935,30628000
2022-03-11,271.55133056640625,280.70420362127237,270.93078275757216,279.2013310407606,27209300
2022-03-14,268.0317077636719,276.7191690212427,267.43057063229696,271.81307809759875,30660700
2022-03-15,278.4159240722656,279.065558101827,270.2520467522859,271.82276744576046,34245100
2022-03-16,285.4356994628906,285.6102173906511,274.58605778034723,280.3162702005297,37826300
2022-03-17,286.240478515625,286.6186007423343,280.56840840023403,284.369189223697,30816600
2022-03-18,291.2919921875,291.8446619377946,283.8262162636274,286.3859015665902,43390600
2022-03-21,290.0606384277344,291.0108410246082,285.93020275050657,289.79886150329435,28351200
2022-03-22,294.8116455078125,295.72305663968604,289.68253896173263,290.6812090841878,27599700
2022-03-23,290.38055419921875,294.0068166256151,288.66440204897714,291.3695483106634,25715400
2022-03-24,294.8503723144531,294.9473365902291,289.2461804109756,290.04124604725905,24484500
2022-03-25,294.4431457519531,296.20779503659236,290.18668905916263,295.946018112128,22566500
2022-03-28,301.2496643066406,301.34659900415994,295.073391346538,295.073391346538,29578200
2022-03-29,305.81640625,306.21393912796776,299.64983837259945,304.36203066251414,30393400
2022-03-30,304.3134765625,306.33993220572023,302.10282726832855,304.21654187968613,28163600
2022-03-31,298.93231201171875,305.55458445151703,298.5251034770213,304.3522806882295,33422100
2022-04-01,300.008544921875,300.6969409340958,296.2465561407123,299.9600479924089,27110500
2022-04-04,305.3897399902344,305.52546630436024,300.28972091399,300.6581674070127,24289600
2022-04-05,301.4241027832031,305.29273121739135,300.4448140459923,303.741391804676,23156700
2022-04-06,290.3902893066406,297.66216633435283,287.68514276731554,295.90722237881243,40110400
2022-04-07,292.2033996582031,294.41404904374673,287.33610072397653,287.63666926754246,31411200
2022-04-08,287.9372253417969,291.9609911189032,287.26821033138873,291.3016814124939,24361900
2022-04-11,276.5834045410156,283.7098197455941,276.33130335708324,282.91478374664115,34569300
2022-04-12,273.4807434082031,281.89672181810613,271.95849007947834,280.44234644172155,30966700
2022-04-13,278.8716735839844,279.8024656994452,272.74389717939255,274.13042443050927,21907200
2022-04-14,271.318603515625,279.54068423967755,270.8241359315861,279.3273746344273,28221600
2022-04-18,271.98760986328125,273.8686046152855,269.8739244910196,270.42659430347726,20778000
2022-04-19,276.6221923828125,277.4657549794319,269.94177668947515,270.8822739757197,22297700
2022-04-20,277.6499328613281,280.8883679766164,276.690054609588,280.59747515624474,22906700
2022-04-21,272.26873779296875,284.37882612930093,271.5415501745788,279.80239086732644,29454600
2022-04-22,265.6949768066406,274.5860709052862,265.06475342226594,273.112284984401,29405800
2022-04-25,272.1815490722656,272.5596713449549,262.5341790094944,264.97754897503074,35678900
2022-04-26,262.00091552734375,269.8933116676329,261.787605924128,269.05948386646486,46518400
2022-04-27,274.60546875,282.1197416602457,270.66896169578,273.5195398508142,63477700
2022-04-28,280.8205261230469,282.1294700096168,272.89901443389357,276.51557221439435,33646600
2022-04-29,269.0788269042969,281.0628954479974,268.08986229591125,279.8315053530754,37073900
2022-05-02,275.81744384765625,276.27314931657503,267.8183792644711,269.2630493387839,35151100
